date,open,high,low,close,volume
2006-12-28,3.5304,3.5354,3.4217,3.5008,88700
2006-12-29,3.5008,3.5107,3.4217,3.4266,183800
2007-01-03,3.4760,3.4859,3.4118,3.4612,162300
2007-01-04,3.4414,3.4859,3.4167,3.4513,62900
2007-01-05,3.4315,3.4859,3.4167,3.4612,46500
2007-01-08,3.4414,3.5848,3.3870,3.5668,99600
2007-01-09,3.5799,3.6046,3.5650,3.5997,47300
2007-01-10,3.5898,3.6145,3.4662,3.5107,49400
2007-01-11,3.5205,3.5848,3.5205,3.5650,41700
2007-01-12,3.5799,3.5799,3.4711,3.5107,138100
2007-01-16,3.5107,3.5156,3.4760,3.4810,113100
2007-01-17,3.4810,3.5650,3.4810,3.5552,53400
2007-01-18,3.5403,3.5552,3.4612,3.4810,70500
2007-01-19,3.4760,3.4859,3.4365,3.4612,83900
2007-01-22,3.4810,3.4859,3.4464,3.4464,71400
2007-01-23,3.4464,3.5107,3.4464,3.5107,50600
2007-01-24,3.5107,3.5403,3.4810,3.4859,44700
2007-01-25,3.4790,3.5403,3.4790,3.5057,26600
2007-01-26,3.5255,3.5255,3.4711,3.4958,24400
2007-01-29,3.4958,3.5442,3.4662,3.4958,47500
2007-01-30,3.4958,3.5156,3.4662,3.4785,37600
2007-01-31,3.5502,3.5502,3.4513,3.4810,50800
2007-02-01,3.4711,3.5057,3.4662,3.4909,63400
2007-02-02,3.4810,3.5799,3.4810,3.5601,56200
2007-02-05,3.4711,3.5502,3.4711,3.5304,43300
2007-02-06,3.5205,3.5799,3.5008,3.5700,46900
2007-02-07,3.5848,3.6095,3.5304,3.6095,61800
2007-02-08,3.6244,3.7529,3.5601,3.7480,60700
2007-02-09,3.7332,3.7431,3.6392,3.6639,35400
2007-02-12,3.6936,3.7183,3.6145,3.7035,41000
2007-02-13,3.6689,3.7035,3.5799,3.6541,104600
2007-02-14,3.5848,3.7084,3.5848,3.6788,43400
2007-02-15,3.6788,3.6986,3.6491,3.6541,31500
2007-02-16,3.6788,3.7134,3.6525,3.6541,31700
2007-02-20,3.6343,3.7579,3.5848,3.7282,77400
2007-02-21,3.7385,3.7985,3.6585,3.7035,42500
2007-02-22,3.7135,3.7185,3.6435,3.6435,27400
2007-02-23,3.6735,3.7435,3.6685,3.7035,19900
2007-02-26,3.6785,3.7035,3.6285,3.6785,27000
2007-02-27,3.6235,3.6235,3.4736,3.4986,48700
2007-02-28,3.4986,3.6785,3.4986,3.6735,59200
2007-03-01,3.6385,3.7635,3.5236,3.7385,70200
2007-03-02,3.7485,3.7485,3.6535,3.6535,55200
2007-03-05,3.5985,3.6735,3.5486,3.6535,65000
2007-03-06,3.6585,3.6935,3.5885,3.6935,19000
2007-03-07,3.7485,3.8085,3.6285,3.6285,47000
2007-03-08,3.6785,3.7385,3.6735,3.7385,65200
2007-03-09,3.7485,3.7985,3.6585,3.7585,47400
2007-03-12,3.7485,3.8734,3.7485,3.8484,72300
2007-03-13,3.7885,3.8584,3.7535,3.8184,34200
2007-03-14,3.8035,3.8035,3.6235,3.6685,60500
2007-03-15,3.6735,3.7885,3.6735,3.7485,24700
2007-03-16,3.7635,3.7635,3.6835,3.6985,15100
2007-03-19,3.7235,3.7735,3.6635,3.6635,39900
2007-03-20,3.6785,3.8984,3.6785,3.8384,65700
2007-03-21,3.8234,3.8734,3.7985,3.8534,116400
2007-03-22,3.8434,3.8734,3.7785,3.8085,59100
2007-03-23,3.7935,3.8734,3.7935,3.8384,25500
2007-03-26,3.8234,3.9084,3.7885,3.8984,38400
2007-03-27,3.9434,3.9684,3.8734,3.9234,48800
2007-03-28,3.9234,3.9834,3.9134,3.9784,34700
2007-03-29,3.9984,4.0484,3.9834,4.0234,173200
2007-03-30,4.0484,4.0484,4.0134,4.0234,163200
2007-04-02,4.0434,4.1733,4.0264,4.1283,280600
2007-04-03,4.1283,4.1733,4.0534,4.1483,46500
2007-04-04,4.1733,4.3232,4.1383,4.2733,99800
2007-04-05,4.2433,4.3932,4.2233,4.3232,118900
2007-04-09,4.3982,4.4182,4.3182,4.3982,152800
2007-04-10,4.4032,4.4182,4.3782,4.3982,79800
2007-04-11,4.4182,4.4312,4.1383,4.2483,119800
2007-04-12,4.2333,4.3532,4.2233,4.2433,111600
2007-04-13,4.2483,4.4682,4.2433,4.4682,82600
2007-04-16,4.4482,4.4982,4.4032,4.4732,90800
2007-04-17,4.4732,4.4932,4.3832,4.4632,67500
2007-04-18,4.4882,4.5082,4.4332,4.4882,72600
2007-04-19,4.4482,4.5132,4.4482,4.4982,58100
2007-04-20,4.5032,4.5032,4.4282,4.4732,45500
2007-04-23,4.4732,4.4882,4.4382,4.4732,48700
2007-04-24,4.4832,4.4882,4.2883,4.4882,61700
2007-04-25,4.4882,4.5232,4.3933,4.5232,109200
2007-04-26,4.3832,4.4982,4.3782,4.4982,82200
2007-04-27,4.4482,4.5232,4.4032,4.4972,42600
2007-04-30,4.4732,4.4882,4.3732,4.3982,61200
2007-05-01,4.4732,4.4882,4.3682,4.4332,52300
2007-05-02,4.4732,4.4732,4.4382,4.4682,39900
2007-05-03,4.4632,4.4882,4.4282,4.4682,40100
2007-05-04,4.4782,4.5182,4.4282,4.4832,38400
2007-05-07,4.4682,4.5082,4.4232,4.4882,65000
2007-05-08,4.4682,4.5182,4.4132,4.4932,118600
2007-05-09,4.4982,4.5182,4.4682,4.4982,30100
2007-05-10,4.5032,4.5232,4.4482,4.4982,37300
2007-05-11,4.5232,4.5232,4.4732,4.5082,69500
2007-05-14,4.4982,4.5631,4.4932,4.4982,81500
2007-05-15,4.5532,4.5681,4.4982,4.5232,79100
2007-05-16,4.5727,4.6635,4.5324,4.6231,66100
2007-05-17,4.6584,4.6735,4.5878,4.6080,64100
2007-05-18,4.6433,4.6937,4.5979,4.6887,98600
2007-05-21,4.7340,4.7391,4.6635,4.7088,67900
2007-05-22,4.7340,4.7492,4.6231,4.6685,60800
2007-05-23,4.7038,4.7744,4.5929,4.5929,77400
2007-05-24,4.5626,4.6332,4.4265,4.4769,123300
2007-05-25,4.4467,4.6030,4.4467,4.4870,54100
2007-05-29,4.5878,4.6584,4.5677,4.6332,51300
2007-05-30,4.6382,4.7744,4.6231,4.7492,51300
2007-05-31,4.7744,4.8802,4.7139,4.8601,120000
2007-06-01,4.9105,5.0164,4.9004,5.0113,125900
2007-06-04,5.0416,5.0920,4.9962,5.0668,186800
2007-06-05,5.0819,5.0819,4.9912,5.0164,124100
2007-06-06,5.0416,5.0617,4.9055,4.9055,71600
2007-06-07,4.9055,4.9155,4.8399,4.8500,79800
2007-06-08,4.9105,4.9105,4.8450,4.8802,57000
2007-06-11,4.9307,5.0819,4.8903,5.0769,119700
2007-06-12,5.0769,5.0769,4.9659,5.0517,133700
2007-06-13,5.0416,5.1575,4.9987,5.1575,142100
2007-06-14,5.1575,5.1575,5.0769,5.1021,91900
2007-06-15,5.1424,5.1928,5.1172,5.1878,122200
2007-06-18,5.1928,5.4449,5.1928,5.3894,201600
2007-06-19,5.3995,5.4058,5.3138,5.3138,157000
2007-06-20,5.3441,5.3642,5.2584,5.2735,108300
2007-06-21,5.2886,5.2886,5.1676,5.1928,75200
2007-06-22,5.1827,5.3491,5.1827,5.2382,129100
2007-06-25,5.3743,5.3945,5.1878,5.1928,174100
2007-06-26,5.3642,5.7323,5.2332,5.6970,491300
2007-06-27,5.7171,5.8633,5.5457,5.7071,263800
2007-06-28,5.6415,5.6718,5.2483,5.3844,454800
2007-06-29,5.3844,5.3844,5.1827,5.1827,624400
2007-07-02,5.1979,5.4701,5.1979,5.4550,266700
2007-07-03,5.4651,5.6566,5.4651,5.5205,219400
2007-07-05,5.5861,5.6516,5.4348,5.6516,141800
2007-07-06,5.6718,5.8381,5.6314,5.7877,223200
2007-07-09,5.8331,5.8482,5.7474,5.7877,125200
2007-07-10,5.7726,5.8835,5.7726,5.8583,137200
2007-07-11,5.8633,5.9743,5.8482,5.9491,166800
2007-07-12,5.9743,6.0902,5.9491,6.0297,139000
2007-07-13,6.0398,6.0852,5.9642,5.9692,95400
2007-07-16,5.9692,6.0852,5.9491,5.9894,149700
2007-07-17,5.9743,6.1205,5.9743,6.1104,142000
2007-07-18,6.1154,6.1406,6.0499,6.1103,112600
2007-07-19,6.1860,6.3020,6.1860,6.2969,117400
